grade,n_loans,total_ead,total_el,el_rate,el_rate_bps
A,39710,524796150.0,28151084.60998181,0.05364194194256534,536.4194194256534
B,62234,831150525.0,97790241.01151834,0.11765647505488654,1176.5647505488653
C,69674,1021431175.0,202713975.87756538,0.19846072925820518,1984.6072925820517
D,34196,530745225.0,139490394.89179146,0.2628198772618095,2628.198772618095
E,13246,221541275.0,75006132.33574148,0.33856504769028467,3385.6504769028465
F,4309,82582400.0,34005082.054986276,0.4117715403643667,4117.715403643667
G,2270,47332650.0,20957521.9906696,0.4427709412143542,4427.709412143542
